Sr. No,Name of NPO,"Registration No,District (State)",Address,Sectors
369,MAHILAKALYAN AVM SWASTHYA FOUNDATION,"025124
RANCHI (Jharkhand)","C/O GUHA KUJUR, NEARBY PIPAR TOLI ARGORA, ASHOK NAGAR RANCHI JHARKHAND INDIA,834002, Angara, RANCHI (Jharkhand) - 834002","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
370,MAHUNGAI YOUTH ASSOCIATION,"020941
HAZARIBAGH (Jharkhand)","C/O BHARTH SINGH KANHARI JABRA ROAD HAZARIAGH, HAZARIAGH, HAZARIBAGH (Jharkhand) - 825301",--
371,MAINO'S SILVER FOUNDATION,"166420
PAKUR (Jharkhand)","At Chota Sarsa, P.O-Bichamahal, P.S-Litipara, Pakur, Jharkhand-816104, Litipara, PAKUR (Jharkhand) - 816104","Children, Education & Literacy, Skill Development"
372,MANAV MULYA FOUNDATION,"U85300PB2021NPL054386
DEOGHAR (Jharkhand)","C/O- SANDEEP KUMAR, R.P. VASHISTHA 1076, ECO-CITY, MULLANPUR, Mohali, Punjab, India, 140901, MOHALI, DEOGHAR (Jharkhand) - 140901",--
373,MANAVTAWADI SHEWA SANSTHAN FOUNDATION,"U85499JH2025NPL025030
RANCHI (Jharkhand)","TIWARI TANK ROAD RANCHI , HINDPIRI RANCHI, Ratu, RANCHI (Jharkhand) - 834002","Animal Welfare, Art & Culture, Children, Dalit Upliftment, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Housing, Labour & Employment, Legal Awareness & Aid, Minority Issues, Nutrition, Panchayati Raj, Religious, Rural Development & Poverty Alleviation, Skill Development, Sports, Tourism, Urban Development & Poverty Alleviation, Water Resources, Women's Development & Empowerment, Youth Affairs"
374,MANOHAR CHARITABLE FOUNDATION,"U88900JH2024NPL023406
RANCHI (Jharkhand)","901 B -BLOCK VASUNDHARA, GARDEN,HARIHAR SINGH ROAD, Bariatu, Ranchi, Ranchi- 834009, Jharkhand., RANCHI, RANCHI (Jharkhand) - 834009",--
375,MANUJ VIKAS FOUNDATION,"024013
CHATRA (Jharkhand)","C/O BASUDEV RAVIDAS, KURJUN, LORAM, ITKHORI, CHATRA, JHARKHAND - 825408, Chatra, CHATRA (Jharkhand) - 825408","Art & Culture, Education & Literacy, Legal Awareness & Aid, Minority Issues, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Skill Development"
376,MANWA CARE FOUNDATION,"U88900JH2024NPL023231
HAZARIBAGH (Jharkhand)","C/O Kailash Saw, Lupung, Katkamsandi, Kanchanpur, Hazaribag, Jharkhand -825301, HAZARIBAGH, HAZARIBAGH (Jharkhand) - 825301",--
377,MANWOUTHAN HUMAN DEVELOPMENT ASSOCIATION,"022000
DEOGHAR (Jharkhand)","MANJHIDIH, SIRSA, DEOGHAR, MADHUPUR, MADHUPUR, DEOGHAR (Jharkhand) - 815353",--
378,Manzilen Foundation,"011420
RANCHI (Jharkhand)","E/6 Ground floor,SIRDO,BIT Meshra, Ranchi, RANCHI (Jharkhand) - 835215",--
379,MARDY WELFARE FOUNDATION,"U85500JH2024NPL022369
SAHEBGANJ (Jharkhand)","Village: Barhait, PO: Barhait, PS:Barhait, Sahibganj, SAHEBGANJ (Jharkhand) - 816102",--
380,MASEEHAA INTERATIONAL FOUNDATION,"U96091JH2023NPL020378
GIRIDIH (Jharkhand)","PORDAG, Giridih, PORDAG, GIRIDIH (Jharkhand) - 825106",--
381,MATRISHAKTI WELFARE FOUNDATION,"U88900JH2025NPL024438
RANCHI (Jharkhand)","H NO 98 NAGRA TOLI, CIRCULAR RD LALPUR RANCHI, Lalpur Ranchi, Ranchi, Jharkhand, India 834001, Bundu, RANCHI (Jharkhand) - 834001","Education & Literacy, Food Processing, Health & Family Welfare, Skill Development, Women's Development & Empowerment, Youth Affairs"
382,MEENASRI PARISHRAM FOUNDATION,"U85109JH2024NPL021961
RANCHI (Jharkhand)","C/O OM PRAKASH PRASAD, 113, MURLA PAHAR, HEHAL, RANCHI, RANCHI (Jharkhand) - 834005",--
383,MEHMOSH FOUNDATION,"U85300JH2022NPL018510
RANCHI (Jharkhand)","C/O MOSHARRAF SAWOOD FIRDOS NAGAR, ROAD NO 1 MANITOL HINOO, RANCHI, RANCHI (Jharkhand) - 834002",--
384,MENMAI WELLNESS RESEARCH AND DEVELOPMENT FOUNDATION,"U88900JH2024NPL022157
RANCHI (Jharkhand)","NIRMALA BHAWAN J.C. ROAD, BURDWAN COMPOUND,Lalpur Ranchi, Lalpur (Ranchi), Ranchi, Ranchi, Jharkhand, India,834001, Ranchi, RANCHI (Jharkhand) - 834010",--
385,MENSCHEN AND STARKE FOUNDATION,"U85100JH2020NPL014959
RANCHI (Jharkhand)","C/oRAJ KR. PRASAD, RAM NAGAR, HARMU, RANCHI, RANCHI (Jharkhand) - 834002",--
386,MICA EDUCATIONAL COMPANY PVT LTD,"102711
RANCHI (Jharkhand)","Opp. Ranchi Club Gate, 2nd Floor Ganga Apartment, 5 Main Road, Ranchi, RANCHI (Jharkhand) - 834001",--
387,Micro Enterprises And Sustainable Project,"U93000JH2010NPL014374
DEOGHAR (Jharkhand)","Belabagan, Opp of DFO Office, PO, Deoghar, DEOGHAR (Jharkhand) - 814112",--
388,MILISU INFINITY FOUNDATION,"022022
DHANBAD (Jharkhand)","C/O DR. SABITA SHARMA, JEETPUR ,GOMOH, Gomoh, Dhanbad, Dhanbad, DHANBAD (Jharkhand) - 828401",--
389,MILLION DREAMS FOUNDATION,"U85300JH2021NPL016262
HAZARIBAGH (Jharkhand)","HURHURU ROAD ,NEAR DUMMER LOADGE ,HAZARIBAG, HAZARIBAG, HAZARIBAGH (Jharkhand) - 825301",--
390,MIMANSHA FOUNDATION,"019023
DHANBAD (Jharkhand)","Khasra No 831 , khata no 188,Mohan Bazar , Jharia Dhanbad . Jharkhand, Dhanbad, DHANBAD (Jharkhand) - 828119","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Civic Issues, Dalit Upliftment, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Human Rights, Information & Communication Technology, Labour & Employment, New & Renewable Energy, Nutrition, Panchayati Raj, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Skill Development, Sports, Tourism, Tribal Affairs, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
391,MIRDHA SOCIAL WELFARE FOUNDATION,"U88900JH2025NPL024262
BOKARO (Jharkhand)","C/O- BACHU NATH DEY, BHAWANIPUR , CHAS, Adrakuri, Bokaro, Bokaro- 827013, Jharkhand, Chas, BOKARO (Jharkhand) - 827013","Art & Culture, Education & Literacy, Environment & Forests, Food Processing, Human Rights, Land Resources, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Scientific & Industrial Research, Vocational Training"
392,MISSION FOR HUMAN DIGNITY FOUNDATION,"U85300JH2023NPL019883
DEOGHAR (Jharkhand)","C/O.-VIDYADHAR JHA, VILL. -WARD NO.-26, NEAR KALI MANDIR, RAMPUR, P.O.-MALHARA, P.S.-RIKHIYA, DISTT. -DEOGHAR (JHARKHAND). -814112 INDIA, DEOGHAR, DEOGHAR (Jharkhand) - 814112",--
393,MISSION KARTAVYA FOUNDATION,"U80901JH2023NPL019927
RANCHI (Jharkhand)","ROOM NO-12 VIKRAM AMBALAL SHARABHAI, BUILDING,GR. FLOOR, NIAMT CAMPUS HATIA, Ranchi, Jharkhand-834003., Bundu, RANCHI (Jharkhand) - 834003","Children, Education & Literacy"
394,MKSAI EDUCATIONAL DEVELOPMENT COUNCIL,"U88900JH2024NPL022320
KHUNTI (Jharkhand)","C/O SATENDA P LOBIN, BAGAN KHUNTI DAV RAOD, KHUNTI, RANCHI, KHUNTI, JHARKHAND, INDIA 835210, RANCHI, KHUNTI (Jharkhand) - 832104",--
395,MODERN BOARDING SCHOOL FOUNDATION,"U85300JH2022NPL019290
KODERMA (Jharkhand)","C/O MADAN RANA S/O DEVKI RANA,, AT GUNDRI, BLOCK DHANWAR, POST ARKHANGO, GIRIDIH, Giridih, Jharkhand, India, 825418, Domchanch, KODERMA (Jharkhand) - 825418","Children, Education & Literacy"
396,MOIN&SON'S WELFARE FOUNDATION,"U88900JH2025NPL024490
PALAMU (Jharkhand)","C/O MD. SADDAM HUSAIN, TUNUDAG, Loharsi, Panki, Palamau- 822122, Jharkhand, Panki, PALAMU (Jharkhand) - 822122","Agriculture, Children, Education & Literacy, Human Rights, Sports"
397,MOTHERSAVITRIBAI FOUNDATON,"U85300JH2022NPL018825
BOKARO (Jharkhand)","Q/NO 637, ST-13, SEC IX B B S CITY, BOKARO, BOKARO (Jharkhand) - 827009",--
398,MOUNT EVEREST LEARNING FOUNDATION,"U80902JH2019NPL012825
RAMGARH (Jharkhand)","MOUNT EVEREST LEARNING FOUNDATION C/O TAMIZ UDDIN,SHOPNO F1,SABA MARKET, NEAR GUYA TALAB,NH 23 MAIN ROAD RAJRAPPA, CHITARPURRAMGARH, Hazaribagh, Jharkhand, India, 825101, Chitarpur, RAMGARH (Jharkhand) - 825101",--
399,MPSR FOUNDATION,"019137
SARAIKELA KHARSAWAN (Jharkhand)","RoadNo-19,Q.No-19/2/2 Adityapur-1,Dist- Saraikela-Kharsawan Jamshedpur Seraikela, Jharkhand - 831013, Adityapur(Gamharia), SARAIKELA KHARSAWAN (Jharkhand) - 831013","Education & Literacy, Health & Family Welfare"
400,NAITIKTA FOUNDATION,"021913
JAMTARA (Jharkhand)","C/O Niranjan Kumar SinghVillage Sitakata, Karmatar, Jamtara, Narayanpur, Jharkhand, India, 815352, Jamtara, JAMTARA (Jharkhand) - 815352",--
401,NAMAN INTERNATIONAL FOUNDATION FOR EDUCATION AND SOCIAL RESEARCH,"U80900JH2021NPL016998
GIRIDIH (Jharkhand)","DINESHWAR BHAWAN ASHOK NAGAR BARGANDA GIRIDIH JHARKHAND 815301, GIRIDIH, GIRIDIH (Jharkhand) - 815301",--
402,Nanogen Hospitals Polyclinics And Research Centre Private Limited,"U85110JH2015PTC002907
RANCHI (Jharkhand)","3/55, NEW AREA, GANDHI NAGAR,HINOO RANCHI Ranchi JH 834002 IN, Ranchi, RANCHI (Jharkhand) - 834002",--
403,NAOVINA DEVELOPMENT OF INTELLECTUAL PROPERTY AND RESEARCH FOUNDATION,"U72200JH2024NPL023058
RANCHI (Jharkhand)","C/O PARMESHWAR KR MAHTO, SRI NAGAR COLONY, TETRI, RANCHI, NAMKUM, JHARKHAND 834010, INDIA, NAMKUM, RANCHI (Jharkhand) - 834010",--
404,NARAYAN MAJDOOR SANG PRIVATE CHARITABLE &WELFARE TRUST,"23/06/2023
RAMGARH (Jharkhand)","PrakashGosalS/O: GirdhariGosal house no. 94 Kalinath Chowk BariyatuRoad Gola . Ramgarh Jharkhand 829110, Bariyatu Road, RAMGARH (Jharkhand) - 829110",--
405,NARAYAN SHISHU VIKAS CHARITABLE FOUNDATION,"U88100JH2023NPL020803
GODDA (Jharkhand)","HOUSE NO 35, DEODANR, PORAIYAHAT, GODDA, DEODANR, GODDA (Jharkhand) - 814153",--
406,NARF FOUNDATION,"024149
RANCHI (Jharkhand)","Dr. Md. Naseem Akhtar H No- 2095/C3, Jora Talab Road, Near lake view hospital, Bariatu, Ranchi, Jharkhand- 834009 ., Kanke, RANCHI (Jharkhand) - 834009","Education & Literacy, Health & Family Welfare, Rural Development & Poverty Alleviation, Science & Technology, Skill Development"
407,NAVDIVYAM EDUCATION AND WELFARE FOUNDATION,"U80904JH2021NPL017567
RANCHI (Jharkhand)","D-8, Near Patel Chowk, Harmu Housing Colony,, Ranchi, RANCHI (Jharkhand) - 834002",--
408,NAVJOTI NIRMAN FOUNDATION,"U88900JH2024NPL023691
RANCHI (Jharkhand)","KISHUNPUR BOOTY SADAR BARIATU, Ormanjhi, RANCHI (Jharkhand) - 834009","Children, Education & Literacy"
409,NAVJYOTI JAN JAGRAN FOUNDATION,"003119
HAZARIBAGH (Jharkhand)","Patna Road Naharpar Post-Barhi Hazaribagh Hazaribagh JH 825405, JHARKHAND, HAZARIBAGH (Jharkhand) - 825405",--
410,NAVPRAABHAT SOCIAL CARE FOUNDATION,"U88900JH2025NPL024208
EAST SINGHBUM (Jharkhand)","MAIN KADANI ROAD, JAMSHEDPUR, BARIDIH COLONY, EAST SINGHBHUM, JHARKHAND-831017, Dhalbhumgarh, EAST SINGHBUM (Jharkhand) - 831017","Agriculture, Animal Welfare, Art & Culture, Children, Differently Abled, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Human Rights, Rural Development & Poverty Alleviation, Skill Development, Women's Development & Empowerment"
411,NAWVIHHAN LIVELIHOOD FOUNDATION,"U85300JH2020NPL014601
DHANBAD (Jharkhand)","JHARIA,, DHANBAD, DHANBAD (Jharkhand) - 814148",--
412,NAYASAVERAWELFAREFOUNDATION,"U85100JH2022NPL018760
CHATRA (Jharkhand)","REG. OFFICE- C/O MAMTA DEVI , VILLAGE -KUMHARI, POST OFFICE- NARCHAHI, POLICE STATIONBLOCK- MAYURHAND , DISTRICT- CHATRA JHARKHAND 825408, ITHKHORI, CHATRA (Jharkhand) - 825408",--
413,NAYI CHHAYA WELFARE FOUNDATION,"U85300JH202INPLOI7656
RAMGARH (Jharkhand)","C/O SHEOPUJAN PRASAD GUPTA, MANDU CHATTL RAMGARH.Hazaribagh, Jharkhand, India, 825316, Jharkhand, RAMGARH (Jharkhand) - 825316",--
414,NAYIRAHE FOUNDATION,"U88900JH2023NPL021126
RANCHI (Jharkhand)","C/O SHANTI PANDEY MUKTI SHARN LANE LALPUR RANCHI JHARKHAND 834001, RANCHI, RANCHI (Jharkhand) - 834001",--
415,NEBSIT NAVINBHARAT EDUCATION BASE OF SKILL INDIA AND TRAINING COUNCIL,"U80902JH2022NPL019011
JAMTARA (Jharkhand)","House No 1395a, At Kurmipara, Post Mihijam, NearGovernment Hospital, Jamtara, Jharkhand 815354, Jamtara, JAMTARA (Jharkhand) - 815354",--
416,NEEM PHOOL FARMER PRODUCER COMPANY LIMITED,"U01110JH2021PTC017085
RANCHI (Jharkhand)","NEEM PHOOL FARMER PRODUCER COMPANY LIMITED W/O BALESHWAR BEDIA VILL- BADRI,, PO-HUNDRU FALL PS-SIKIDIRI, HUNDRU, RANCHI, Jharkhand, India, 835219, Angara, RANCHI (Jharkhand) - 835219","Agriculture, Animal Husbandry, Dairying & Fisheries"
417,NEEV KI EENT FOUNDATION,"U88900JH2023NPL020721
PALAMU (Jharkhand)","Opposite Shahpur Fort, Shahpur, Patan, Palamau,822110, Jharkhand, Daltonganj, PALAMU (Jharkhand) - 822110",--
418,NEMHA VALLEY FOUNDATION,"U83300JH2021NPL016376
RANCHI (Jharkhand)","CO-MALA JOHN WALTER KUJUR, NEW NAGAR, BANDHGARI, RANCHI, RANCHI (Jharkhand) - 834009",--
419,NEST FOR NEEDY FOUNDATION,"017564
RANCHI (Jharkhand)","SHOP NO24, ROSHPA TOWER, FOURTH FLOOR, MAIN ROAD, RANCHI, RANCHI (Jharkhand) - 834001",--
420,NETWORK FOR ENTERPRISE ENHANCEMENT AND DEVELOPMENT SUPPORT FOUNDATION,"U85300JH2020NPL015093
DEOGHAR (Jharkhand)","C/O. MURARI MOHAN CHOUDHURY, S/O. LT, SATENDRANATH CHOUD, KARNIBAG, TAPOVAN, DEOGHAR, Deoghar, Jharkhand, India, 814143, Deoghar, DEOGHAR (Jharkhand) - 814143",--
421,NEVER DYING SOCIAL WELFARE FOUNDATION,"U85300JH2022NPL017961
SARAIKELA KHARSAWAN (Jharkhand)","86, ROAD NO A, ADITYPUR BASTI, NEAR IMLI CHOWK, ADITYAPUR, SERAIKELA KHARSAWAN , SERAIKELA KHARSAWAN, SARAIKELA KHARSAWAN (Jharkhand) - 831013",--
422,NEWMISSION LIFE CARE FOUNDATION,"U88900JH2023NPL020312
BOKARO (Jharkhand)","QR NO.1B/172 HOSPITAL COLONY BODIYA SOUTH ATPO KATHARA DIST BOKARO Bokaro JH 829116 INDIA, BOKARO, BOKARO (Jharkhand) - 829116",--
423,NEXTGEN FUTURE FOUNDATION,"U85500JH2023NPL021090
EAST SINGHBUM (Jharkhand)","East Singhbhum, SONARI, EAST SINGHBUM (Jharkhand) - 831011",--
424,NHR ASSOCIATION,"024121
RANCHI (Jharkhand)","KHIJURTOLA, BARAGAIN, BARIYATU, Bundu, RANCHI (Jharkhand) - 835217","Aged/Elderly, Agriculture, Art & Culture, Children, Dalit Upliftment, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Legal Awareness & Aid, Minority Issues, New & Renewable Energy, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Youth Affairs"
425,NIITUJA EDUCATIONAL & WELFARE FOUNDATION,"023540
HAZARIBAGH (Jharkhand)","C/O MD. ABBAS ANSARI, AT NAWADIH, SEC. I, CHOUPARAN, HAZARIBAG825406, HAZARIBAG, HAZARIBAGH (Jharkhand) - 825406",--
426,NILAYAMDHAM FOUNDATION,"U85300JH2020NPL015777
PALAMU (Jharkhand)","C/O NILAY VERMA BARIYA, DALTONGANJ, Palamu, Jharkhand, India, 822102, Medininagar(Daltonganj), PALAMU (Jharkhand) - 822102","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Human Rights, New & Renewable Energy, Rural Development & Poverty Alleviation, Science & Technology, Skill Development, Tribal Affairs, Water Resources, Women's Development & Empowerment"
427,NILOFER CARE FOUNDATION,"U94910JH2023NPL020358
RANCHI (Jharkhand)","c/o NIRANJAN PD BARANWAL,LATE PARMESHWAR LAL L.S.-23 HARMU HOUSING COLON HARMU 834002,Harmu Housing Colony,Ranchi,Ranchi-834002,Jharkhand, RANCHI, RANCHI (Jharkhand) - 834002",--
428,NIRJHAR FOUNDATION,"U88900JH2025NPL025493
RANCHI (Jharkhand)","Co PIPARTOLI PUNDAG PUNDAG 0 834004 Pundag Ranchi Ranchi- 834004 Jharkhand, Angara, RANCHI (Jharkhand) - 834004","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
429,NIRMAL KUNJ FOUNDATION,"U88900JH2023NPL020205
RANCHI (Jharkhand)","NIRMAL KUNJ FOUNDATION M-5 (SS) HARMU HOUSING COLONY,OPPOSITE SBI Ranchi-834002,Jharkhand, RANCHI, RANCHI (Jharkhand) - 834002",--
430,NIRNAYAK WACHAN FOUNDATION,"U85499JH2023NPL021256
RANCHI (Jharkhand)","C/O KHWAJA PARVEJ AHMED, IGRU TOLI MASJID, RANCHI GPO, RANCHI, RANCHI, RANCHI (Jharkhand) - 834001",--
431,Nischhal Charitable Foundation,"U92412JH2016NPL003600
RANCHI (Jharkhand)","House No.10, Ranjit Singh, Ranchi, RANCHI (Jharkhand) - 834001",--
432,Niti Education & Welfare Foundation,"U80902JH2022NPL018023
RANCHI (Jharkhand)","Flat No103, Sector3, Block4, National Game Housing Complex, Khelgaon, Hotwar, Ranchi, RANCHI (Jharkhand) - 835217",--
433,NITJSR-CENTRE FOR INNOVATION AND INCUBATIONCOUNCIL,"U85499JH2024NPL021866
EAST SINGHBUM (Jharkhand)","NIT, INDUSTRIAL AREA ADITYAPUR, R.I.T, Seraikela-kharsawan, Jamshedpur, Jharkhand, India, 831014, JAMSHEDPUR, EAST SINGHBUM (Jharkhand) - 831014",--
434,NLD GURUJI FOUNDATION,"U80903JH2020NPL015226
HAZARIBAGH (Jharkhand)","Matwari House Compound, Matwari, Hazaribagh, Jharkhand825301, HAZARIBAGH, HAZARIBAGH (Jharkhand) - 825301",--
435,NS GETWEBCARE PRIVATE LIMITED,"U72900JH2014PTC001853
RANCHI (Jharkhand)","ISM Chowk, Pundag, Ranchi, RANCHI (Jharkhand) - 834004",--
436,NURTURING INNOVATIONS FOR SUSTAINABLE AND RAPID GROWTH FOUNDATION,"U85320JH2020NPL014919.
RANCHI (Jharkhand)","382, Shivaji Lane, Harmu Road, Ranchi, RANCHI (Jharkhand) - 834001",--
437,NUUTRO SAVERA FOUNDATION,"U88900JH2024NPL022662
BOKARO (Jharkhand)","AMLABAD COLLERY, CHAS, BOKARO, 828302 JHARKHAND, Bermo, BOKARO (Jharkhand) - 828302","Art & Culture, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Rural Development & Poverty Alleviation, Science & Technology, Skill Development, Sports, Women's Development & Empowerment"
438,O.W.M LOGISTICS PRIVATE LIMITED,"U74999JH2019PTC012577
EAST SINGHBUM (Jharkhand)","O.W.M Logistics Private Limited0002, Sakchi ,New Planning Area, Jamshedpur ,Purba , Singhbum, Jharkhand -831001, Jamshedpur, EAST SINGHBUM (Jharkhand) - 831001",--
439,ONKOZ GLOBAL FOUNDATION,"U86900JH2024NPL023452
KODERMA (Jharkhand)","C/O. RAJ KUMARI DEVI, TELAIYA BASTI, Jhumri Telaiya, Kodarma, Koderma- 825409, Jharkhand, Jhumri Telaiya, KODERMA (Jharkhand) - 825409",--
440,OPENHEART FOUNDATION,"U87200JH2023NPL020836
RANCHI (Jharkhand)","OPENHEART FOUNDATION OFF NO.100, CIRCULAR ROAD,SHARDRAPURI, OPP KC ROY M, Lalpur (Ranchi),Ranchi,Ranchi-834001,Jharkhand, RANCHI, RANCHI (Jharkhand) - 834001",--
441,ORAON SHEEMA BAL AWAN VRIDHA KALYAN FOUNDATION,"U88100JH2023NPL020650
RANCHI (Jharkhand)","ORAON SHEEMA BAL AWAN VRIDHA KALYAN FOUNDATION C/o Sanjay Oraon, Nayatoli, Simalia, Simlia, Ratu, Ranchi-835222, Jharkhand., Ranchi, RANCHI (Jharkhand) - 835222",--
442,ORL RESEARCH FOUNDATION,"U88900JH2025NPL023775
RANCHI (Jharkhand)","FLAT NO.336, PANDIT DEVKI REALTY, MANGRI PAHAR, HEHAL, RANCHI, JHARKHAND-834005, RANCHI, RANCHI (Jharkhand) - 834005",--
443,OXYTREE CHARITABLE WELFARE FOUNDATION,"022442
GIRIDIH (Jharkhand)","WARD NO.31, RAJENDRA, NAGAR, BADA CHOWK, Giridih, Giridh, Giridih, Jharkhand, India, 815301, GIRIDIH, GIRIDIH (Jharkhand) - 815301",--
444,PADMA SHAKTI FOUNDATION,"U85499JH2024NPL031837
EAST SINGHBUM (Jharkhand)","1341, Syndicate Colony,4th phase, Uliyan, Kadma, Jamshedpur, Jharkhand, Jamshedpur, EAST SINGHBUM (Jharkhand) - 831005",--
445,PANCHSUTRA FOUNDATION,"U88100JH2025NPL023734
BOKARO (Jharkhand)","570 A LAHRIYA TAND, PO- BOKARO THERMAL, DISTRICT -BOKARO,PIN- 829107, JHARKHAND, BOKARO, BOKARO (Jharkhand) - 829107",--
446,PanIIT Alumni Reach For Jharkhand Foundation,"U74999JH2015NPL003302
RANCHI (Jharkhand)","KALYAN COMPLEX, C/O JSTCDC BALIHAR ROAD, MORABADI RANCHI-834008, JHARKHAND, RANCHI, RANCHI (Jharkhand) - 834008",--
447,PANKAJASHISH SMART FOUNDATION,"U85500JH2025NPL025132
RANCHI (Jharkhand)","ASHISH KUMAR BABA SAI ENCLAVE BLOCK-B G FLOOR BOREYA RANCHI, Kanke, RANCHI (Jharkhand) - 834006","Education & Literacy, Skill Development"
448,PANKHUDI FOUNDATION,"U88900JH2024NPL022862
SARAIKELA KHARSAWAN (Jharkhand)","HNO 21 NR HANUMAN MANDIRVILL-KHUNTI, POST- KHUNTI, THANA- SARIKELA KHARSAWAN JHARKHAND-832404, SARAIKELA KHARSAWAN, SARAIKELA KHARSAWAN (Jharkhand) - 832404",--
449,PANNAGASHAN VAHAN FOUNDATION,"022687
DHANBAD (Jharkhand)","C/O naresh saw, attantri, ps- topchanchi, dist- dhanbad, jharkhand- 828402, DHANBAD, DHANBAD (Jharkhand) - 828402",--
450,Paramhans Durgawati Charitable Trust,"821/2021
DEOGHAR (Jharkhand)","Nandan Kanan, Jalsar Road, Deoghar, Deoghar, DEOGHAR (Jharkhand) - 814112","Education & Literacy, Science & Technology, Skill Development, Sports, Vocational Training"
451,PARAMITA INTERNATIONAL HOLISTIC ACADEMY AND RESEARCH COUNCIL,"U80302JH2022NPL019431
RANCHI (Jharkhand)","836W/8A, VIMAL SUKH NIWAS, BHATTI ROAD, TIRIL, KOKAR, BARIATU,RANCHI JHARKHAND, INDIA,834009, Bundu, RANCHI (Jharkhand) - 834009","Education & Literacy, Health & Family Welfare, Human Rights"
452,PARASNATH GLOBALGREEN FOUNDATION,"023128
GIRIDIH (Jharkhand)","C/O LOK NATH PRASAD, NEAR SHIV MANDIR KHETKO, Bagodar, Giridh, Bagodar, Jharkhand, India, 825322, BAGODAR, GIRIDIH (Jharkhand) - 825322",--
453,PARI ASHA DEVELOPMENT FOUNDATION,"015150
RANCHI (Jharkhand)","AL RASHID APARTMENT,B/4, 4TH FLOOR KONKA ROAD NEAR HOWARI MASJID RANCHI, RANCHI, RANCHI (Jharkhand) - 834001",--
454,PATHIK SAMIDHA FOUNDATION,"U88900JH2024NPL023475
KODERMA (Jharkhand)","279,JAINAGAR,C/OANJU MODI, W/O SURENDRA PRASAD MODI, Jainagar (Koderma), Jainagar, Koderma- 825109, Jharkhand , JAINAGAR, KODERMA (Jharkhand) - 825109",--
455,PDNU FOUNDATION,"Section 8 Licence NO 141843
PALAMU (Jharkhand)","C/o Sunil Kumar, Karar Panki, Daltonganj, Palamu Jharkhand, India, 822122, Daltonganj, PALAMU (Jharkhand) - 822122",--
456,PEACE JUSTICE HUMANITY AND RELIEF FOUNDATION,"U85320JH2018NPL012117
RANCHI (Jharkhand)","OFFICE NO , 9, 10, KRISHNA TOWER, GARI KHANA, CART SARAY ROAD, NEAR RAM MANDIR, RANCHI, RANCHI (Jharkhand) - 834001",--
457,PEEKRAIN COMMERCE AND INDUSTRIES ASSOCIATION,"U85300JH2022NPL019056
RANCHI (Jharkhand)","FATYATOLI AMBEDKAR ROAD , BALALONG RING ROAD CHOWK , WEST OF BHIM RAO AMBEDKAR STATUE , NAGRI , DHURWA , RANCHI, RANCHI, RANCHI (Jharkhand) - 834004",--
