Sr. No,Name of NPO,"Registration No,District (State)",Address,Sectors
725,JIVAN SEVA SAMITI FOUNDATION,"U85500BR2023NPL063657
PATNA (Bihar)","C/O RAMA SHANKAR PRASAD , ALLABAKASPUR , SAKRIGALI , GULZARBAGH , SAMPATCHAK , PATNA, PATNA, PATNA (Bihar) - 800007",--
726,JIVANWAY JIVAN SAFE FOUNDATION,"U88900BR2023NPL063590
PASHCHIM CHAMPARAN (Bihar)","Vill post- shyampur kotaraha, p.s- Nautan, Dis.- west champaran, Bettiah, PASHCHIM CHAMPARAN (Bihar) - 845459",--
727,JIWINKA NARI KALYAAN SEWA FOUNDATION,"060547
SIWAN (Bihar)","Vill-Chorman tola, chorman, panch ,mahamada block, bhagwanpur hat, siwan siwan Bihar India 841226, Siwan, SIWAN (Bihar) - 841226","Health & Family Welfare, Women's Development & Empowerment"
728,JJIS WELFARE FOUNDATION,"U88900BR2025NPL075567
PURNIA (Bihar)","C/o Rupesh Kr Salia, VILL-KASBA ,Ward 1, Kasba , Purnea, Purnia- 854330, Bihar., Kasba, PURNIA (Bihar) - 854330","Children, Dalit Upliftment, Education & Literacy, Health & Family Welfare"
729,JOEL'S DISCIPLE FOUNDATION,"U88900BR2025NPL074883
DARBHANGA (Bihar)","NEAR SALESH MANDIR, BARAHI TOLA, SHISHO WEST, Siso, Darbhanga, Darbhanga- 846005, Bihar, Darbhanga, DARBHANGA (Bihar) - 846005","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
730,JOGIRA INDIA FOUNDATION,"U74999BR2016NPL032127
PATNA (Bihar)","Flat No. G-1/C, Satyam Apartment, Kavi Raman Path, Nageshwar Colony, Boring Road, Punaichak, Phulwari, PATNA (Bihar) - 800001",Art & Culture
731,JOINT STEP FOUNDATION,"U85300BR2021NPL051654
SARAN (Bihar)","C/O JHARA KHATOON, WARD NO-19 SAYED HASAN, DAHIWAYA, CHAPRA CHAPRA Saran BR 841301 IN , CHAPRA, SARAN (Bihar) - 841301",--
732,JOTEE A TO ZED FOUNDATION,"U85300BR2021NPL055751
PATNA (Bihar)","SRI RAM JIVAN PRASAD, B/96,KURJEE,SADAQANT ASHRAM,PATNA,BIHAR,INDIA,800013, PATNA, PATNA (Bihar) - 800013",--
733,JOTISEVA KUMBH FOUNDATION,"U88900BR2025NPL075225
PATNA (Bihar)","MAKHDUMPUR BAGICHA KURJEE SADAQUAT ASHRAM , FULWARI PATNA-800010, Patna Rural, PATNA (Bihar) - 800010","Agriculture, Animal Husbandry, Dairying & Fisheries, Children, Differently Abled, Education & Literacy, Environment & Forests, Food Processing, Human Rights, Rural Development & Poverty Alleviation, Skill Development, Tourism, Tribal Affairs"
734,JOVITER CONSULTING PRIVATE LIMITED,"U70200BR2024PTC071729
PATNA (Bihar)","C/O Pradeep Saw Rani Saray Bakhtiyarpur Patna, Patna, PATNA (Bihar) - 803212",--
735,JPS COMMUNITY HEALTH FOUNDATION,"U88900BR2025NPL073993
AURANGABAD (Bihar)","CO- BRIJNANDANYADAV, VILL PARTAPPUR, JHIKATIA, GOH, RUKUNDI JHIKATIA, AURANGABAD, BIHAR 824129, AURANGABAD, AURANGABAD (Bihar) - 824129",--
736,JRF Welfare Foundation,"U85500BR2025NPL076609
AURANGABAD (Bihar)","JRF Welfare Foundation C/o The Guardian Institute Village - Khaira Mirja Madanpur, Kapasya Aurangabad, Bihar - 824103, Aurangabad, AURANGABAD (Bihar) - 824103","Aged/Elderly, Agriculture, Art & Culture, Biotechnology, Civic Issues, Dalit Upliftment, Education & Literacy, Health & Family Welfare, Human Rights, Labour & Employment, Legal Awareness & Aid, Panchayati Raj, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Vocational Training, Women's Development & Empowerment, Youth Affairs"
737,JSS VIKASH FOUNDATION,"U85500BR2024NPL069286
DARBHANGA (Bihar)","HOUSE NO-1362, C/O VIJAY KUMAR THAKUR, MAA GAYATRI COLONY, AZAMNAGAR, SHIVDHARA, DARBHANGA-846004, DARBHANGA, DARBHANGA (Bihar) - 846004",--
738,JULEEV SEVA FOUNDATION,"U85500BR2024NPL069152
SARAN (Bihar)","CO JITENDRA, BAJRANG NAGAR, KASHI BAZAR, Chapra, SARAN (Bihar) - 841301",--
739,JV SMILEYS FOUNDATION,"050735
AURANGABAD (Bihar)","C/O VINITA DEVI,OF PUNDAUL VILL PUNAUL, TOLA-PUNAUL PANCH-BERAKA, BLOCK-GOH AURANGABAD BR 824203 IN, Goh, AURANGABAD (Bihar) - 824203","Aged/Elderly, Art & Culture, Children, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Rural Development & Poverty Alleviation, Skill Development, Sports, Vocational Training, Women's Development & Empowerment"
740,JYOTI WELFARE FOUNDATION,"U85300BR2021NPL055114
PASHCHIM CHAMPARAN (Bihar)","VILL TOLA- BEHRI, BANKATWA PANCH-SURYAPUR BLOCK-SIKTA, PASHCHIM, West Champaran, Bihar, India, 845307, SIKTA, PASHCHIM CHAMPARAN (Bihar) - 845307","Children, Drinking Water, Education & Literacy, Health & Family Welfare, Human Rights, Religious, Rural Development & Poverty Alleviation, Skill Development, Women's Development & Empowerment, Youth Affairs"
741,JYOTIPRAKASH SOCIAL WELFARE FOUNDATION,"U88900BR2025NPL073584
PATNA (Bihar)","Care of - Prakash Kumar, Ganga Ngr Colony,Rupaspur, Dhanaut, Phulwari, Patna- 801506, Bihar, Phulwari, PATNA (Bihar) - 801506","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Housing, Human Rights, Nutrition, Religious, Science & Technology, Water Resources, Women's Development & Empowerment"
742,JYOTSANA FOUNDATION,"U74900BR2014NPL002230
VAISHALI (Bihar)","JYOTSANA FOUNDATION, 2ND FLOOR, SHITAL BHAWAN, CINEMA ROAD, ANWARPUR, HAJIPUR, VAISHALI, BIHAR, 844101, HAJIPUR, VAISHALI (Bihar) - 844101",--
743,K P SEWA SANSTHAN,"U85300BR2020NPL049296
MUZAFFARPUR (Bihar)","PAIGHAMBARPUR, KOLHUA, KANTI AYACHIGRAM MUZAFFARPUR , BIHAR- 843108, Muzaffarpur, MUZAFFARPUR (Bihar) - 843108",--
744,KAAK SEVA FOUNDATION,"U85500BR2024NPL071237
PATNA (Bihar)","TRIMURTI NAGAR LANE-2 JHAKHARI MAHADEO GOLA ROAD DANAPUR CANTT PATNA, PATNA, PATNA (Bihar) - 801503",--
745,KAAR-E-KHAIR FOUNDATION,"U85500BR2023NPL062516
SARAN (Bihar)","C/O ZAFFAR FAROOQUE, RESIDENT OF 100668, NAI BAZAR, CHAPRA,SARAN, BIHAR,, CHAPRA, SARAN (Bihar) - 841301",--
746,KABI BALA BIHARI FOUNDATION,"U90000BR2025NPL077023
PATNA (Bihar)","New Jaganpura, Ayodhya, Dham Colony, Raj Niketan, New Jaganpura, Patna, Sampatchak, Bihar, India, 800027, Sampatchak, PATNA (Bihar) - 800027","Art & Culture, Children, Education & Literacy, Health & Family Welfare, Information & Communication Technology, Minority Issues, Religious, Skill Development, Youth Affairs"
747,KABIR SAT DHARM FOUNDATION,"U85500BR2024NPL067466
DARBHANGA (Bihar)","C/O Subhash Sharma, Vill-Rohar, Tola-Rohar, Rohar, Benipur, Darbhanga- 847103, Bihar, Bihar, DARBHANGA (Bihar) - 847103",--
748,KADAMNI WELFARE ASSOCIATION,"U88900BR2024NPL068105
BHAGALPUR (Bihar)","HOUSE NO32, BIHAR SONUDIH, SAINO, Jagdishpur (Bhagalpur)- 813105, Bihar, JAGDISHPUR, BHAGALPUR (Bihar) - 813105",--
749,KAINATORPHANS AND OLD AGE HOME FOUNDATION,"068359
JAMUI (Bihar)","C/O LATE ALI HUSAIN, VILL-TOLA, SONO, JAMUI, KHAIRA, BIHAR, INDIA, 811314, JAMUI, JAMUI (Bihar) - 811314",--
750,KALPANA DAS MEMORIAL DAFFODILS PRIMARY SCHOOL FOUNDATION,"U80903BR2021NPL050889
DARBHANGA (Bihar)","C/o H. K. Das S/o Chakradhar Das, H. No. 75, Laheriyasarai, Bahadurpur, DARBHANGA (Bihar) - 846001",Education & Literacy
751,KALYAANAARTH FOUNDATION,"U85499BR2023NPL065095
BHOJPUR (Bihar)","C/O RAMNATH SAH VILLBARNAON BLOCK - JAGDISHPUR, ARRAH, BHOJPUR (Bihar) - 802203",--
752,KALYAN DREAMS FOUNDATION,"140850
MADHUBANI (Bihar)","C/O PANO DEVI, LAHERIYAGANJ, MADHUBANI-847211, MADHUBANI, MADHUBANI (Bihar) - 847211",--
753,kalyanastu foundation,"U85320BR2019NPL044223
PATNA (Bihar)","C/o Radhe Krishna,Beside Reliance Jewels, Boring Road Chauraha, Patna, PATNA (Bihar) - 800001",--
754,KAMBAL BABA FOUNDATION,"068597
PATNA (Bihar)","D-23, ROAD NO -2 NORTH, JAI PRAKASH NAGAR, ASHIANANAGAR, PATNA, PHULWARI, BIHAR, INDIA, 800025, PHULWARI, PATNA (Bihar) - 800025",--
755,KAMLAEMPOWER FOUNDATION,"074624
BUXAR (Bihar)","Upadhyay bhawan, kheelafhatpur, chausa, Chausa ,Buxar, Chausa, Bihar, Chausa, BUXAR (Bihar) - 802114","Aged/Elderly, Agriculture, Art & Culture, Education & Literacy, Environment & Forests, Health & Family Welfare, Nutrition, Rural Development & Poverty Alleviation"
756,KAMLESH KUMAR CHARITABLE AND WELFARE FOUNDATION,"U88100BR2024NPL072228
MUZAFFARPUR (Bihar)","H/O-SURENDRA SINGH, VILL-MAHAMADPUR BALMI, Motipur, Motipur, Muzaffarpur- 843111, Bihar, MUZAFFARPUR, MUZAFFARPUR (Bihar) - 843111",--
757,KANKAR FOUNDATION,"U85300BR2021NPL054408
MUZAFFARPUR (Bihar)","VILL MUZAFFARPUR M CORP, TOLA WARD NO. 8 BLOCK MUSAHRI, MUZAFFARPUR- 842001, MUZAFFARPUR, MUZAFFARPUR (Bihar) - 842001",--
758,KANSARI FOUNDATION,"U85500BR2023NPL064485
MUZAFFARPUR (Bihar)","Panch-Pirapur, Vill-PirapurDist-muzaffarpur, Block-Bandra, Pirapur, Muzaffarpur, Bandra, Bihar, India, 843115, Muzaffarpur, MUZAFFARPUR (Bihar) - 843115","Agriculture, Animal Husbandry, Dairying & Fisheries, Children, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Labour & Employment, Skill Development, Vocational Training, Women's Development & Empowerment, Youth Affairs"
759,KANTIMAY PARYAVARAN FOUNDATION,"U88900BR2024NPL072752
PATNA (Bihar)","C/O ASHOK KUMAR RAY, GATE NO. 65, KURJI, Sadaquat Ashram, Phulwari, Patna- 800010, patna, PATNA (Bihar) - 800010",--
760,KANYA VIVAH & VIKASH FOUNDATION,"U85300BR2021NPL053821
GAYA (Bihar)","C/O VIKASH KUMAR MALI, MOH. RAMDHANPUR, PS. KOTWALI, GAYA, GAYA, BIHAR, INDIA, 823001, GAYA, GAYA (Bihar) - 823001",--
761,KANYADAN KALYAN FOUNDATION,"U85300BR2021NPL051335
NALANDA (Bihar)","PLOT 112 PANCH MEGHI NGAWAN VILL MEGHI NONGAWA TOLA DEEPNAGAR BLOCK BIHARSHARIF NALANDA, Nalanda, NALANDA (Bihar) - 801301",--
762,KANYAVISION FOUNDATION,"U88900BR2024NPL071140
DARBHANGA (Bihar)","C/O ARJUN SAHANI MAHENDRA, SAHANI BAHADURPUR, Laheriasarai, Darbhanga, Darbhanga, Bihar, India, 846001, Darbhanga, DARBHANGA (Bihar) - 846001",--
763,KAPAR HEALTH FOUNDATION,"U80903BR2020NPL045969
ARARIA (Bihar)","112 KHAIRA, TOLA CHAND WARD NUMBER 03, NARPATGANJ KHAIRA KHAGRA, ARARIA, BIHAR, INDIA,854335, ARARIA, ARARIA (Bihar) - 854335",--
764,KAPARDIS FOUNDATION,"068800
MUZAFFARPUR (Bihar)","Damuchak, Madhuri Niwas, NEAR PNB, Muzaffarpur, Muzaffarpur, Muzaffarpur- 842001, Bihar, Muzaffarpur, MUZAFFARPUR (Bihar) - 842001",--
765,KAPIL DEO MEMORIAL FOUNDATION,"141252
PATNA (Bihar)","C/O- SANJAY KUMAR SINGH, S/O- KAPIL DEV, SHIV NAGAR, KHEMANICHAK, KANKARBAGH, PATNA-800020, Sampatchak, PATNA (Bihar) - 800020","Animal Welfare, Education & Literacy"
766,KARNBHUMI MICRO ASSOCIATION,"077134
MUNGER (Bihar)","11, Near Trimurti Complex, Gumti No. 2, Munger, Munger, MUNGER (Bihar) - 811201","Agriculture, Children, Drinking Water, Environment & Forests, Food Processing, Health & Family Welfare, Human Rights, Micro Finance (SHGs), Micro Small & Medium Enterprises, Skill Development, Women's Development & Empowerment, Youth Affairs"
767,KARUNAJIT SOCIAL WELFARE FOUNDATION,"U88900BR2025NPL076141
AURANGABAD (Bihar)","WARD NO . 14, PAKKA HOUSE COLONY, KAGAJI MUHALLA, OBRA, AURANGABAD, BIHAR- 824124, Obra, AURANGABAD (Bihar) - 824124","Agriculture, Animal Welfare, Children, Education & Literacy, Health & Family Welfare, HIV/AIDS, Human Rights, Information & Communication Technology, Labour & Employment, Legal Awareness & Aid, Micro Small & Medium Enterprises, Minority Issues, Panchayati Raj, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Skill Development, Vocational Training, Women's Development & Empowerment"
768,KARUNAKIRAN WELFARE FOUNDATION,"U88900BR2025NPL076285
SARAN (Bihar)","VILL-PARSAUNA, CHAPRA, Parsa, SARAN (Bihar) - 841219","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
769,Karunodaya Foundation,"U85100BR2019NPL043845
GAYA (Bihar)","Shree Vijay Vastralaya, Leharia Tola,, Gaya, GAYA (Bihar) - 823001",--
770,KARYASTAMBH FOUNDATION,"U88900BR2023NPL064601
GAYA (Bihar)","C/O VIJAY NATH PACHHATI, BODHGAYA,GAYA, GAYA, GAYA (Bihar) - 824231",--
771,KASHI TRIVENI FOUNDATION,"U85220BR2024NPL066913
BHAGALPUR (Bihar)","C/o Shambhu jhunjhunwala D.N. Singh Road Bhagalpur, Bihar-812002, Bhagalpur, BHAGALPUR (Bihar) - 812002",--
772,KASU FOUNDATION,"077574
MADHUBANI (Bihar)","B N JHA COLONY, 7, Madhubani, Madhubani, Sadar Madhubani, Bihar, India, 847211, Madhubani, MADHUBANI (Bihar) - 847211","Animal Husbandry, Dairying & Fisheries, Education & Literacy, Health & Family Welfare, Labour & Employment"
773,Kaushalya foundation trust,"92612020
PURNIA (Bihar)","Shastri Nagar Hasda Gulabbagh, Purnia East, PURNIA (Bihar) - 854306","Aged/Elderly, Education & Literacy"
774,Kaushiki kalyan Foundation,"U85300BR2022NPL059758
SAHARSA (Bihar)","C/O. SMT. I. USHA SINGH, LAWALEY, ANAND ROAD, SAHARSA, (U) SAHARSA, SAHARSA, Saharsa, Bihar, India, 852201, SAHARSA, SAHARSA (Bihar) - 852201",--
775,KAUTILYA SHIKSHA FOUNDATION,"U85499BR2024NPL068885
SARAN (Bihar)","C/ONIRAJ kUMAR SINGH, kOHRIPAK GOVIND KALYAN, AMNOUR, SARAN, MARHAURA, BIHAR, INDIA, 841401, AMNOUR, SARAN (Bihar) - 841401",--
776,KB LIFELONG IMPACT FOUNDATION,"U85499BR2024NPL072599
PATNA (Bihar)","C/o Raghunath Pd East, Lohanipur, Pustakaly Lane, Kadamkuan, Patna, PATNA (Bihar) - 800003",--
777,KDMS FOUNDATION,"U85300BR2021NPL052047
GAYA (Bihar)","C/O DHARMENDRA, MIDDLE SCHOOL SAMIR TAKYA, GAYA, GAYA, BIHAR, INDIA, 823001, GAYA, GAYA (Bihar) - 823001",--
778,KEEN ABOUT FUTURE FOUNDATION,"U85300BR2021NPL054297
PASHCHIM CHAMPARAN (Bihar)","Champapur, PO Rakhahi, PS Shikarpur, Narkatiaganj, PASHCHIM CHAMPARAN (Bihar) - 845451",--
779,KESHAV AGASTYA FOUNDATION,"U85300BR2022NPL061021
BUXAR (Bihar)","28/32, c/o:- Nirbhay Prashant Ward No.:- 3 Vill:- Bhadwar Buxar, BIHAR 802134 , Brahmpur Buxar, BUXAR (Bihar) - 802134",--
780,KESHAV WELFARE FOUNDATION,"U85500BR2024NPL070453
PATNA (Bihar)","Flat No-G02, Block-H, Agrani Homes Apartment IOB Nagar Main Phase, Near Sarar,, patna, PATNA (Bihar) - 801105",--
781,KGV DEVELOPMENT FOUNDATION,"U88900BR2025NPL074166
MADHEPURA (Bihar)","C/O SACHITANAND PD GUPTA, VILL HATIAUNDHA, Hathionda, Udakishanganj, Madhepura, MADHEPURA (Bihar) - 852101","Agriculture, Animal Welfare, Education & Literacy, Environment & Forests, Health & Family Welfare, Rural Development & Poverty Alleviation, Skill Development, Urban Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment, Youth Affairs"
782,KHAB E MUSTAQBIL EDUCATION FOUNDATION,"U85420BR2025NPL074727
GAYA (Bihar)","32, CHAND BAJITPUR, BACK OF POLICE STATION, Belaganj, Belaganj, Gaya- 804403, Bihar, Belaganj, GAYA (Bihar) - 804403","Education & Literacy, Environment & Forests, Health & Family Welfare, Information & Communication Technology, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Women's Development & Empowerment"
783,KHAIYAM EDUCATION AND MEDICAL FOUNDATION,"U80200BR2021NPL055426
MUZAFFARPUR (Bihar)","KHATA NO -18, KHESHRA NO.-108 At MILLAT COLONY CHIT BHAGWA TIPUR NA MUZAFFARPUR, Musahri, MUZAFFARPUR (Bihar) - 842001","Education & Literacy, Science & Technology, Skill Development, Vocational Training"
784,KHALIFA ADIVASI VANVASI VIKASH FOUNDATION,"U85300BR2022NPL061086
KAIMUR (BHABUA) (Bihar)","C/O RIJWAN ALI, VILLAGE SIRIHRA, TOLA, PANCHSIRHIRA, BLOCK CHAND, KAIMUR, BIHAR, INDIA, 821106, Chand, KAIMUR (BHABUA) (Bihar) - 821106","Children, Disaster Management, Education & Literacy, Environment & Forests, Health & Family Welfare, Rural Development & Poverty Alleviation, Skill Development, Women's Development & Empowerment"
785,KHANQAHE AKHLAQIA URSE AKHLAQI FOUNDATION,"U85499BR2024NPL068403
SITAMARHI (Bihar)","WARD NO 10, VILL-KHURSAHA, BELA SITAMARHI, PS-BELA, BETHUARA, SITAMARHI, PARIHAR, BIHAR, INDIA, 843324, BETHUARA, SITAMARHI (Bihar) - 843324",--
786,KHELLOZZ YOUTH AND SPORTS FOUNDATION,"U93190BR2024NPL070166
PATNA (Bihar)","118/E, S.K.PURI, Patna, Phulwari, Patna, PATNA (Bihar) - 800001",--
787,KHIDMAT-E-ALAM EDUCATION AND WELFARE FOUNDATION,"U88900BR2023NPL065380
PATNA (Bihar)","Hassan cottage, Garahua tola, Near Imran medicine, Sultanganj. P.O: Mahendru P.S: Sultanganj, patna, PATNA (Bihar) - 800006",--
788,KHILKHILAHAT MUSKAN KI KIRAN FOUNDATION,"U85499BR2025NPL074650
PATNA (Bihar)","C/o PRADEEP KUMAR, MITHAPUR B AREA, Gardanibagh, Patna, Phulwari, Bihar, India, 800001, Phulwari, PATNA (Bihar) - 800001","Aged/Elderly, Animal Welfare, Art & Culture, Children, Civic Issues, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Small & Medium Enterprises, Panchayati Raj, Prisoner's Issues, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Skill Development, Sports, Tourism, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
789,KHUDARPAN FOUNDATION,"U85300BR2021NPL050615
MUNGER (Bihar)","c/o-farzana khatoon, vill- parham, tola- parham,jamalpur,munger,bihar,india,811214, JAMALPUR, MUNGER (Bihar) - 811214",--
790,Khushhal sahayata foundation,"U88900BR2025NPL074551
PASHCHIM CHAMPARAN (Bihar)","PANCH-PIRARI,INARWA BAZAR, BATTIAH,WEST CHAMPARAN, Bettiah, PASHCHIM CHAMPARAN (Bihar) - 845306","Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare"
791,KINDAURA WELFARE FOUNDATION,"U85490BR2025NPL078241
KHAGARIA (Bihar)","RATAN KHAGARIA, GOGRI, Ratan, Khagaria, KHAGARIA (Bihar) - 851203","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Dalit Upliftment, Differently Abled, Disaster Management, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Human Rights, Information & Communication Technology, Labour & Employment, New & Renewable Energy, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Urban Development & Poverty Alleviation, Women's Development & Empowerment"
792,KINDSOULS WEFARE FOUNDATION,"077338
GOPALGANJ (Bihar)","C/O-MAKBUL WARISH 30 VILL, BASTPUR PS-MIRGANJ, Hathwa, Gopalganj, Gopalganj- 841436, Bihar, Hathua, GOPALGANJ (Bihar) - 841436","Health & Family Welfare, Sports"
793,KINGPHISHER SMART FOUNDATION,"U88900BR2023NPL062225
BHOJPUR (Bihar)","KUSUM COMPLEX HO.NO. 166.PANCH EKAWANA VILL EKAUNA,DAKHIN EKAUNA,ARA,BHOJPUR, 802210,BIHAR, ARA, BHOJPUR (Bihar) - 802210",--
794,KKSK DIGITAL SOCIAL FOUNDATION,"U85500BR2023NPL065824
KAIMUR (BHABUA) (Bihar)","99, PATEL CHOWK SE UTTAR WARD NO. 03 BHABUA KAIMUR (BHABUA)-821101 BIHAR, Bhabua, KAIMUR (BHABUA) (Bihar) - 821101",--
795,KNCD CARE FOUNDATION,"U85320BR2022NPL061115
SHEIKHPURA (Bihar)","WARD NO 06 PARSOBIGHA, BARBIGHA, SHEIKHPURA, BIHAR PIN – 811101, SHEIKHPURA, SHEIKHPURA (Bihar) - 811101",--
796,KND WELFARE FOUNDATION,"U88900BR2024NPL067885
MADHEPURA (Bihar)","C/O- RAMESH KUMAR CHOUDHARY, VILL. BLOCK-ALAMNAGAR, SINGHAR,, ALAMNAGR, MADHEPURA (Bihar) - 852219",--
797,KNOWTOPIA INDIA FOUNDATION,"U85500BR2025NPL075981
KATIHAR (Bihar)","Khata No. 18 Khesra No. 285, Nista, Kadwa, Katihar, Bihar, Kadwa, KATIHAR (Bihar) - 854317","Civic Issues, Education & Literacy, Health & Family Welfare, Human Rights, Information & Communication Technology, Labour & Employment, Micro Small & Medium Enterprises, Panchayati Raj, Skill Development, Vocational Training, Women's Development & Empowerment, Youth Affairs"
798,KOLIKACOLLECTIVE DEVELOPMENT FEDERATION,"117328
BHAGALPUR (Bihar)","C/O -BIBI TAMANNA,SHAHADAT HUSSAIN LANE TATARPUR, Bhagalpur-812002, Bhagalpur, BHAGALPUR (Bihar) - 812002",--
799,KOMALPRIYA GRAMIN VIKASH FOUNDATION,"133593
VAISHALI (Bihar)","VILL PO- GHATARO, PS-KARTAHAN, DIST.VAISHALI, Lalganj, VAISHALI (Bihar) - 844119",--
800,KOSHI KALYAN FOUNDATION,"055073
SAHARSA (Bihar)","C/ONiraj Kumar Singh , Ward no 03 naya bazar, Saharsa, saharsa, Bihar, India, 852201, Saharsa, SAHARSA (Bihar) - 852201",--
801,Koshyal yuva Jan kalyan educational foundation,"U85300BR2022NPL057309
PASHCHIM CHAMPARAN (Bihar)","VILL-CHINI MILL ROAD CHANPATIA WARD NO-11 PO-CHANPATIA PS-CHANPATIA, CHANPATIA, PASHCHIM CHAMPARAN (Bihar) - 845449",--
802,KOSIKA AAROHAN FOUNDATION,"U86900BR2025NPL073398
ARARIA (Bihar)","SAVITRI NILAY, WARD NO.-04, AT-MATIYARI, POST-MATIYARI, FORBESGANJ, DISTRICT-ARARIA, Forbesganj, ARARIA (Bihar) - 854318","Aged/Elderly, Animal Welfare, Differently Abled, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Legal Awareness & Aid, Sports, Water Resources, Women's Development & Empowerment"
803,KOSILA WELFARE FOUNDATION,"U88900BR2025NPL075256
BUXAR (Bihar)","C/O SANTOSH KR SINGH, INTERNATIONAL PUB. SCHOOL, Ahirauli, Buxar, Buxar, Bihar, India, 802116, Buxar, BUXAR (Bihar) - 802116","Children, Education & Literacy, Health & Family Welfare, Human Rights, Women's Development & Empowerment"
804,Krantee Pariwartan Jan Kalyan Foundation,"U85300BR2021NPL054209
BHAGALPUR (Bihar)","H.NO.257, WARD NO. 15. GOLE KOTHI, TATARPUR ROAD, BHAGALPUR,BHAGALPUR. BIHAR, INDIA, 812002, BHAGALPUR, BHAGALPUR (Bihar) - 812002",--
805,KRISHI JYOTI FOUNDATION,"U88900BR2025NPL075557
PATNA (Bihar)","24 ROAD 24I RAJIV NAGAR, HAVELI MARRIAG GARDEN, Keshari Nagar, Phulwari, Patna- 800024, Bihar, Phulwari, PATNA (Bihar) - 800024","Agriculture, Animal Welfare, Art & Culture, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Skill Development, Women's Development & Empowerment"
806,KRISHIKA EDUCATIONAL AND RESEARCH TRAINING COUNCIL,"U8890BR2024NPL072618
VAISHALI (Bihar)","KANHAULIDHANRAJBLOCK GOROUL-DIST VAISHALI 844122, BIHAR, VAISHALI (Bihar) - 844122",--
807,KRISHNANACHARYA EDUVENTURE PRIVATE LIMITED,"U80904BR2018PTC038544
ARWAL (Bihar)","C/O Mahendra Mishra , At Pariyari , ps kinjar , DisttArwal, ARWAL, ARWAL (Bihar) - 804426",--
808,KRISHNANAWAL KUNJ ASSOCIATION,"U88900BR2023NPL063890
VAISHALI (Bihar)","CO ANIL KUMAR NAWAL KUNJ APPARTMENT GANDAK POOL ROAD HAJIPUR VAISHALI, HAJIPUR, VAISHALI (Bihar) - 844101",--
809,KRISHNARAM FOUNDATION,"U88900BR2025NPL073439
SUPAUL (Bihar)","C/O PUJA DEVI, PILWAHA, PILWAHA PANCH, TRIBENIGAN, JADIA, TRIVENIGANJ, TRIVENIGANJ, SUPAUL (Bihar) - 852214",--
